KEY,SKEY,AAF1,CBAA_1
100000001,197100000129,2,3
100000002,197100000024,1,3
100000003,197100000185,1,1
100000004,197100000135,1,3
100000005,197100000096,1,3
100000006,197100000132,1,3
100000007,197100000110,1,2
100000008,197100000048,2,2
100000009,197100000044,1,3
100000010,197100000038,1,3
100000011,197100000239,1,1
100000012,197100000071,1,3
100000013,197100000056,2,1
100000014,197100000171,2,3
100000015,197100000228,1,2
100000016,197100000072,1,3
100000017,197100000063,2,1
100000018,197100000146,1,4
100000019,197100000176,1,2
100000020,197100000027,1,4
100000021,197100000092,1,4
100000022,197100000070,1,3
100000023,197100000236,1,3
100000024,197100000154,1,3
100000025,197100000120,1,3
100000026,197100000037,1,4
100000027,197100000149,2,4
100000028,197100000121,1,4
100000029,197100000122,2,1
100000030,197100000115,1,4
100000031,197100000235,1,4
100000032,197100000349,1,3
100000033,197100000041,1,3
100000034,197100000172,2,2
100000035,197100000079,1,4
100000036,197100000034,2,4
100000037,197100000286,2,2
100000038,197100000221,1,3
100000039,197100000215,1,3
100000040,197100000224,2,4
100000041,197100000083,2,3
100000042,197100000148,1,2
100000043,197100000245,2,4
100000044,197100000012,2,4
100000045,197100000300,1,3
100000046,197100000328,1,4
100000047,197100000029,2,2
100000048,197100000150,2,3
100000049,197100000220,1,4
100000050,197100000329,1,2
100000051,197100000082,1,4
100000052,197100000313,1,3
100000053,197100000033,2,4
100000054,197100000174,1,3
100000055,197100000282,2,3
100000056,197100000126,2,2
100000057,197100000256,2,2
100000058,197100000061,1,4
100000059,197100000307,1,4
100000060,197100000054,2,1
100000061,197100000462,1,3
100000062,197100000316,1,4
100000063,197100000139,1,4
100000064,197100000323,1,4
100000065,197100000103,1,3
100000066,197100000216,1,3
100000067,197100000095,1,2
100000068,197100000253,2,2
100000069,197100000101,1,3
100000070,197100000028,1,2
100000071,197100000088,1,1
100000072,197100000255,1,2
100000073,197100000167,2,4
100000074,197100000287,1,4
100000075,197100000203,2,4
100000076,197100000280,2,4
100000077,197100000446,1,4
100000078,197100000293,1,4
100000079,197100000373,1,3
100000080,197100000233,1,4
100000081,197100000197,1,3
100000082,197100000069,1,2
100000083,197100000319,2,3
100000084,197100000297,1,2
100000085,197100000362,2,4
100000086,197100000357,2,3
100000087,197100000213,1,1
100000088,197100000493,1,3
